accession,best_query,best_bits,max_fident,nearest_query,seqid_nearest,cov_nearest,low_coverage,triad_found,pocket_ok,composite,above_threshold,mean_plddt,catalytic_ser,his,acid
MGYP001554450241,6EQE,680.0,17.9,6EQE,28.26,0.638,False,True,True,-0.1061,True,,142,223,193
MGYP001442334794,8B4U,380.0,11.5,4WFI,29.41,0.554,False,True,True,-0.2079,True,,242,394,266
MGYP003301169474,8B4U,683.0,17.8,8B4U,22.73,0.937,False,True,True,-0.2383,True,,663,777,745
MGYP002620351521,8B4U,907.0,21.6,8B4U,26.1,0.974,False,True,True,-0.2462,True,,141,255,227
MGYP003634428556,8B4U,889.0,23.1,8B4U,26.98,0.944,False,True,True,-0.3046,True,,156,287,256
MGYP001811976022,8B4U,670.0,17.5,6EQE,25.79,0.649,False,True,True,-0.3062,True,,165,246,214
MGYP001053706295,8B4U,870.0,23.9,8B4U,26.83,0.892,False,True,True,-0.3078,True,,151,265,237
MGYP000374854360,8B4U,857.0,24.6,8B4U,28.7,0.807,False,True,True,-0.3564,True,,111,225,197
MGYP001151245703,8B4U,824.0,23.7,8B4U,28.38,0.799,False,True,True,-0.3652,True,,119,233,205
MGYP001092944015,8B4U,955.0,23.3,8B4U,27.53,0.874,False,True,True,-0.3877,True,,181,304,274
MGYP000556846615,8B4U,708.0,17.2,8B4U,24.18,0.877,False,True,True,-0.3931,True,,511,623,591
MGYP001012320318,8B4U,828.0,24.9,8B4U,29.64,0.911,False,True,True,-0.395,True,,129,238,209
MGYP003301279577,8B4U,673.0,17.4,4CG1,26.43,0.5,False,True,True,-0.447,True,,99,212,123
MGYP001088059604,8B4U,872.0,24.0,8B4U,24.68,0.814,False,True,True,-0.4619,True,,123,252,214
MGYP001327599836,8B4U,678.0,17.8,8B4U,25.64,0.914,False,True,True,-0.4691,True,,494,608,576
MGYP001024034846,8B4U,521.0,11.9,6EQE,47.06,0.06,True,True,True,-0.4946,True,,136,301,160
MGYP001817444318,8B4U,670.0,17.2,8B4U,27.8,0.792,False,True,True,-0.4958,True,,491,604,572
MGYP000079016908,8B4U,395.0,10.8,8B4U,35.29,0.063,True,True,True,-0.497,True,,125,230,200
MGYP001103958575,8B4U,714.0,17.3,4WFI,26.45,0.508,False,True,True,-0.4971,True,,413,520,488
MGYP003293018486,8B4U,820.0,23.7,8B4U,25.94,0.859,False,True,True,-0.498,True,,144,256,228
MGYP003292222593,8B4U,379.0,11.7,4WFI,66.67,0.035,True,True,True,-0.5504,True,,207,355,300
MGYP002523701448,8B4U,878.0,23.6,8B4U,26.03,0.851,False,True,True,-0.5615,True,,115,232,204
MGYP002852548985,8B4U,669.0,15.6,6EQE,22.43,0.619,False,True,True,-0.5804,True,,672,786,754
MGYP003311028628,8B4U,667.0,17.9,8B4U,20.38,0.948,False,True,True,-0.5974,True,,171,291,261
MGYP003313434790,8B4U,669.0,16.7,6EQE,22.5,0.543,False,True,True,-0.6089,True,,142,240,212
MGYP001953731371,8B4U,412.0,10.9,8B4U,55.56,0.033,True,True,True,-0.6105,True,,186,312,274
MGYP000972618041,8B4U,417.0,11.6,4EB0,53.33,0.058,True,True,True,-0.6307,True,,119,228,196
MGYP001428766973,8B4U,381.0,11.5,8B4U,22.29,0.591,False,True,True,-0.6411,True,,477,637,608
MGYP003630968221,4CG1,426.0,11.5,4CG1,23.49,0.55,False,True,True,-0.647,True,,357,448,380
MGYP001310969696,6EQE,818.0,22.4,6EQE,31.92,0.721,False,True,True,-0.6506,True,,153,232,203
MGYP002796801425,8B4U,815.0,21.2,8B4U,22.43,0.944,False,True,True,-0.6541,True,,109,223,195
MGYP000102986799,8B4U,831.0,24.7,8B4U,27.2,0.922,False,True,True,-0.6572,True,,183,297,269
MGYP003564592075,4CG1,883.0,23.6,6EQE,27.24,0.977,False,True,True,-0.6575,True,,157,236,205
MGYP000909102703,8B4U,822.0,21.3,8B4U,22.31,0.855,False,True,True,-0.6595,True,,124,247,219
MGYP000931939753,8B4U,864.0,24.8,8B4U,28.57,0.922,False,True,True,-0.6757,True,,156,270,242
MGYP000315942955,8B4U,848.0,23.5,8B4U,27.34,0.888,False,True,True,-0.6761,True,,111,225,197
MGYP000433120037,8B4U,837.0,24.0,8B4U,26.82,0.799,False,True,True,-0.6841,True,,117,226,198
MGYP003682944183,8B4U,822.0,22.3,8B4U,27.07,0.959,False,True,True,-0.687,True,,109,229,200
MGYP001139114374,8B4U,426.0,11.4,4EB0,47.37,0.074,True,True,True,-0.6887,True,,133,343,309
MGYP000185136195,8B4U,851.0,23.0,8B4U,27.57,0.762,False,True,True,-0.6896,True,,213,336,309
MGYP001561325122,8B4U,816.0,20.8,8B4U,23.86,0.922,False,True,True,-0.7189,True,,108,231,204
MGYP003952026245,8B4U,413.0,11.8,4WFI,55.56,0.035,True,True,True,-0.726,True,,137,276,161
MGYP003288464113,8B4U,905.0,24.3,8B4U,26.79,0.896,False,True,True,-0.7298,True,,124,248,218
MGYP002534080813,8B4U,845.0,23.7,8B4U,27.14,0.963,False,True,True,-0.7321,True,,157,271,243
MGYP001818682897,8B4U,683.0,17.6,8B4U,26.53,0.691,False,True,True,-0.7486,True,,241,357,325
MGYP000923013937,8B4U,389.0,11.9,4WFI,21.7,0.647,False,True,True,-0.7518,True,,199,384,350
MGYP000702463111,8B4U,903.0,23.8,8B4U,29.52,0.829,False,True,True,-0.7534,True,,296,416,388
MGYP002512308081,8B4U,882.0,21.7,8B4U,25.99,0.792,False,True,True,-0.7536,True,,123,252,214
MGYP000428657700,8B4U,412.0,11.1,4WFI,32.26,0.112,True,True,True,-0.7627,True,,421,572,541
MGYP003365020856,8B4U,854.0,22.7,8B4U,29.34,0.866,False,True,True,-0.7627,True,,116,230,202
MGYP001815130755,8B4U,963.0,23.4,8B4U,25.1,0.959,False,True,True,-0.7661,True,,107,228,199
MGYP002398817790,8B4U,814.0,18.8,8B4U,23.96,0.955,False,True,True,-0.7718,True,,127,251,221
MGYP001361289042,8B4U,728.0,17.4,4WFI,22.75,0.523,False,True,True,-0.7849,True,,154,269,237
MGYP003319697594,8B4U,462.0,11.4,4CG1,53.33,0.057,True,True,True,-0.7882,True,,213,341,304
MGYP001028183184,8B4U,847.0,21.9,8B4U,28.76,0.758,False,True,True,-0.7925,True,,369,502,469
MGYP001134779661,8B4U,691.0,17.7,8B4U,23.4,0.87,False,True,True,-0.7932,True,,140,281,247
MGYP001588802621,8B4U,431.0,11.3,6EQE,30.56,0.125,True,True,True,-0.7957,True,,118,225,195
MGYP000739964870,8B4U,470.0,11.6,4CG1,21.95,0.573,False,True,True,-0.8018,True,,149,287,260
MGYP000981938131,8B4U,686.0,17.5,8B4U,23.33,0.967,False,True,True,-0.8026,True,,707,821,789
MGYP001042406412,8B4U,860.0,24.5,8B4U,25.65,0.959,False,True,True,-0.8043,True,,113,227,199
MGYP000294404383,8B4U,419.0,11.5,6EQE,45.45,0.079,True,True,True,-0.8053,True,,181,333,291
MGYP001285749691,8B4U,865.0,24.5,8B4U,27.63,0.926,False,True,True,-0.824,True,,139,255,226
MGYP000521768201,8B4U,876.0,23.4,8B4U,27.59,0.855,False,True,True,-0.829,True,,126,249,221
MGYP001250446723,8B4U,397.0,11.3,4CG1,41.18,0.122,True,True,True,-0.8379,True,,137,343,309
MGYP003573031598,8B4U,852.0,23.8,8B4U,27.31,0.933,False,True,True,-0.8395,True,,175,295,266
MGYP001235214809,8B4U,417.0,10.8,4WFI,29.55,0.167,True,True,True,-0.8457,True,,158,322,182
MGYP000594089813,8B4U,692.0,17.2,6EQE,25.14,0.619,False,True,True,-0.8474,True,,119,233,201
MGYP002784548320,8B4U,703.0,17.3,4CG1,24.84,0.595,False,True,True,-0.8477,True,,497,613,581
MGYP001498008729,8B4U,426.0,11.8,4WFI,30.56,0.128,True,True,True,-0.8484,True,,117,229,199
MGYP001614444687,8B4U,815.0,20.9,8B4U,23.53,0.877,False,True,True,-0.853,True,,109,235,206
MGYP001593116698,8B4U,825.0,22.1,8B4U,24.45,0.911,False,True,True,-0.856,True,,128,252,224
MGYP001380134028,8B4U,683.0,17.2,8B4U,26.25,0.535,False,True,True,-0.8577,True,,124,265,231
MGYP001132206714,8B4U,794.0,17.1,8B4U,22.57,0.911,False,True,True,-0.8595,True,,310,473,441
MGYP001716174841,8B4U,668.0,16.6,8B4U,20.68,0.829,False,True,True,-0.866,True,,266,411,380
MGYP003584956836,8B4U,843.0,22.6,8B4U,26.97,0.952,False,True,True,-0.8682,True,,107,227,198
MGYP000280104091,8B4U,816.0,24.3,8B4U,28.63,0.862,False,True,True,-0.872,True,,104,218,189
MGYP001791288134,8B4U,740.0,17.6,8B4U,25.4,0.874,False,True,True,-0.879,True,,112,234,206
MGYP001584871144,8B4U,839.0,24.0,8B4U,27.8,0.84,False,True,True,-0.8817,True,,107,235,206
MGYP001113149047,8B4U,758.0,17.0,6EQE,23.21,0.792,False,True,True,-0.8903,True,,180,298,266
MGYP000364077566,8B4U,822.0,20.4,4CG1,24.51,0.672,False,True,True,-0.8913,True,,269,452,418
MGYP002869747534,8B4U,882.0,23.2,8B4U,29.32,0.892,False,True,True,-0.8934,True,,131,254,226
MGYP001625141941,8B4U,388.0,11.7,8B4U,75.0,0.03,True,True,True,-0.8993,True,,125,243,214
MGYP001116693349,8B4U,852.0,21.6,8B4U,25.37,0.948,False,True,True,-0.9043,True,,114,229,201
MGYP000909117589,8B4U,875.0,24.1,8B4U,29.32,0.866,False,True,True,-0.9064,True,,110,235,205
MGYP001554337619,8B4U,881.0,22.8,8B4U,28.08,0.937,False,True,True,-0.9142,True,,108,228,199
MGYP000680149312,8B4U,909.0,24.9,8B4U,29.37,0.892,False,True,True,-0.9173,True,,114,229,199
MGYP001391761801,8B4U,716.0,17.6,6EQE,24.05,0.54,False,True,True,-0.9228,True,,142,275,242
MGYP001248854856,8B4U,688.0,16.3,6EQE,21.88,0.558,False,True,True,-0.9385,True,,627,734,702
MGYP001592952475,8B4U,841.0,24.0,8B4U,26.95,0.944,False,True,True,-0.9473,True,,111,219,189
MGYP002642083681,4CG1,671.0,17.8,4EB0,27.6,0.527,False,True,True,-0.9487,True,,189,306,275
MGYP002523902111,8B4U,410.0,11.6,4EB0,50.0,0.07,True,True,True,-0.955,True,,203,346,292
MGYP003616010712,8B4U,912.0,23.6,8B4U,26.91,0.888,False,True,True,-0.9601,True,,164,278,250
MGYP000641267157,8B4U,691.0,16.3,4EB0,24.37,0.581,False,True,True,-0.965,True,,545,653,621
MGYP000300026648,8B4U,713.0,17.6,8B4U,24.66,0.71,False,True,True,-0.9675,True,,265,407,376
MGYP002641317296,8B4U,728.0,16.4,8B4U,23.27,0.926,False,True,True,-0.9703,True,,169,310,276
MGYP000642417585,8B4U,818.0,20.2,8B4U,25.54,0.781,False,True,True,-0.9742,True,,125,250,222
MGYP000067738852,8B4U,679.0,17.7,6EQE,22.39,0.698,False,True,True,-0.9778,True,,593,700,668
MGYP003583524456,8B4U,402.0,11.8,4WFI,31.17,0.267,True,True,True,-0.9806,True,,113,193,161
MGYP001074155609,8B4U,381.0,11.7,8B4U,23.68,0.532,False,True,True,-0.9819,True,,149,337,308
MGYP001121473661,8B4U,705.0,17.8,8B4U,24.75,0.888,False,True,True,-0.9828,True,,241,414,380
MGYP002762228470,8B4U,843.0,21.2,8B4U,26.01,0.941,False,True,True,-0.9859,True,,112,236,207
MGYP000589708145,8B4U,386.0,11.9,6EQE,40.62,0.121,True,True,True,-0.9902,True,,118,329,295
MGYP001402047493,6EQE,813.0,24.0,6EQE,26.44,0.86,False,True,True,-0.9906,True,,173,271,236
MGYP002511552488,8B4U,866.0,23.0,8B4U,26.32,0.796,False,True,True,-0.9964,True,,114,239,205
MGYP002854914433,8B4U,861.0,22.2,8B4U,26.21,0.888,False,True,True,-0.9972,True,,147,261,233
MGYP001459885787,8B4U,679.0,17.4,8B4U,27.85,0.558,False,True,True,-0.9999,True,,257,401,370
MGYP000691456636,8B4U,720.0,16.2,6EQE,23.81,0.543,False,True,True,-1.0017,True,,268,414,383
MGYP000972055566,8B4U,425.0,11.3,8B4U,28.36,0.234,True,True,True,-1.0036,True,,162,287,256
MGYP003863507197,8B4U,390.0,11.8,6EQE,62.5,0.03,True,True,True,-1.0072,True,,120,288,258
MGYP003814116569,8B4U,673.0,15.1,8B4U,28.47,0.509,False,True,True,-1.0147,True,,233,398,368
MGYP000973491815,8B4U,665.0,17.6,4CG1,25.21,0.687,False,True,True,-1.0159,True,,175,284,256
MGYP001132165084,8B4U,820.0,21.7,8B4U,25.17,0.903,False,True,True,-1.02,True,,251,414,386
MGYP003862190223,8B4U,403.0,11.3,4WFI,41.18,0.066,True,True,True,-1.0246,True,,216,403,369
MGYP002047444906,8B4U,684.0,17.9,6EQE,34.38,0.121,True,True,True,-1.0247,True,,264,372,339
MGYP002139839401,8B4U,818.0,24.5,8B4U,26.26,0.955,False,True,True,-1.0279,True,,177,311,278
MGYP001119252401,8B4U,380.0,11.8,6EQE,24.7,0.566,False,True,True,-1.0318,True,,117,229,199
MGYP000078053705,8B4U,422.0,11.9,8B4U,34.38,0.115,True,True,True,-1.0366,True,,123,320,293
MGYP001349501242,6EQE,668.0,15.8,4EB0,23.88,0.798,False,True,True,-1.0369,True,,211,304,275
MGYP001565160832,8B4U,853.0,22.7,8B4U,27.97,0.848,False,True,True,-1.0382,True,,108,231,202
MGYP003564897076,4CG1,817.0,23.9,4CG1,29.11,0.737,False,True,True,-1.0387,True,,139,218,186
MGYP002761453633,8B4U,826.0,22.2,4WFI,24.63,0.512,False,True,True,-1.0422,True,,100,213,184
MGYP000904848993,8B4U,753.0,17.6,4CG1,24.34,0.523,False,True,True,-1.0426,True,,256,401,369
MGYP001496479099,8B4U,672.0,17.3,4WFI,24.34,0.508,False,True,True,-1.045,True,,129,249,212
MGYP002856632265,8B4U,865.0,23.5,8B4U,25.74,0.952,False,True,True,-1.0454,True,,114,230,202
MGYP000159184981,8B4U,672.0,16.9,4WFI,27.93,0.349,True,True,True,-1.0504,True,,610,717,685
MGYP001815227229,8B4U,724.0,16.7,8B4U,21.05,0.963,False,True,True,-1.0508,True,,143,307,273
MGYP000107515984,8B4U,722.0,16.6,4WFI,23.03,0.504,False,True,True,-1.0518,True,,270,444,410
MGYP000411743521,8B4U,677.0,17.6,8B4U,21.27,0.933,False,True,True,-1.0592,True,,251,364,332
MGYP001306817676,8B4U,435.0,11.6,6EQE,37.5,0.06,True,True,True,-1.0654,True,,115,251,219
MGYP001092268617,8B4U,665.0,16.4,8B4U,25.81,0.784,False,True,True,-1.0656,True,,123,253,224
MGYP001584430935,8B4U,891.0,22.8,8B4U,28.52,0.922,False,True,True,-1.0662,True,,124,248,218
MGYP002074182170,8B4U,827.0,22.7,8B4U,24.68,0.807,False,True,True,-1.0681,True,,115,240,206
MGYP001572605834,8B4U,779.0,16.9,8B4U,22.86,0.926,False,True,True,-1.0716,True,,194,323,291
MGYP003744199833,8B4U,813.0,23.1,8B4U,26.32,0.829,False,True,True,-1.0725,True,,130,250,221
MGYP001777214998,8B4U,682.0,17.7,8B4U,23.38,0.758,False,True,True,-1.0744,True,,217,343,312
MGYP002715241859,8B4U,712.0,16.6,4WFI,26.58,0.547,False,True,True,-1.0744,True,,115,272,245
MGYP000916848533,8B4U,731.0,17.1,8B4U,22.68,0.948,False,True,True,-1.0758,True,,116,248,216
MGYP001107477436,8B4U,722.0,17.9,6EQE,25.71,0.502,False,True,True,-1.077,True,,113,222,190
MGYP000692920374,8B4U,845.0,22.1,4CG1,27.98,0.561,False,True,True,-1.0822,True,,361,513,480
MGYP000356042289,8B4U,825.0,21.4,4EB0,26.06,0.574,False,True,True,-1.0862,True,,114,234,205
MGYP000019808978,8B4U,712.0,17.3,6EQE,23.05,0.747,False,True,True,-1.0866,True,,119,226,194
MGYP000704590627,8B4U,674.0,17.9,8B4U,24.24,0.922,False,True,True,-1.0984,True,,730,844,812
MGYP003629794474,8B4U,744.0,15.8,8B4U,20.0,0.888,False,True,True,-1.1064,True,,365,540,508
MGYP002706481457,8B4U,390.0,10.6,6EQE,32.35,0.125,True,True,True,-1.1082,True,,161,292,262
MGYP002783807810,8B4U,463.0,11.6,4EB0,30.95,0.151,True,True,True,-1.1085,True,,120,226,184
MGYP000850275022,8B4U,819.0,20.2,8B4U,27.31,0.766,False,True,True,-1.109,True,,319,461,430
MGYP000913833987,8B4U,779.0,17.7,8B4U,24.51,0.829,False,True,True,-1.109,True,,125,251,218
MGYP003642389601,8B4U,852.0,22.7,8B4U,26.87,0.814,False,True,True,-1.1091,True,,107,227,198
MGYP001050095979,8B4U,671.0,17.9,8B4U,23.33,0.855,False,True,True,-1.1093,True,,678,792,760
MGYP001277170917,8B4U,690.0,17.5,8B4U,22.22,0.922,False,True,True,-1.1189,True,,409,526,494
MGYP003585819079,8B4U,667.0,17.9,6EQE,20.86,0.66,False,True,True,-1.12,True,,256,432,399
MGYP001027724782,8B4U,675.0,16.9,4EB0,26.58,0.55,False,True,True,-1.1221,True,,266,413,382
MGYP001416510614,8B4U,408.0,11.7,4WFI,42.42,0.116,True,True,True,-1.1222,True,,138,321,288
MGYP000082203121,8B4U,703.0,17.2,8B4U,26.54,0.758,False,True,True,-1.1292,True,,242,402,371
MGYP001604443395,8B4U,866.0,22.9,8B4U,25.5,0.922,False,True,True,-1.1297,True,,108,205,177
MGYP000869519800,8B4U,671.0,16.3,6EQE,24.86,0.615,False,True,True,-1.1333,True,,297,405,372
MGYP001446780816,8B4U,685.0,17.9,8B4U,23.29,0.881,False,True,True,-1.134,True,,105,230,200
MGYP001076156845,8B4U,910.0,24.6,4WFI,22.39,0.69,False,True,True,-1.1402,True,,112,263,234
MGYP000364888594,8B4U,414.0,11.3,8B4U,36.36,0.082,True,True,True,-1.1498,True,,151,271,268
MGYP000073649764,8B4U,723.0,17.5,8B4U,23.13,0.918,False,True,True,-1.1537,True,,204,320,288
MGYP003591155651,8B4U,405.0,11.6,6EQE,41.18,0.064,True,True,True,-1.1556,True,,112,196,164
MGYP002768729931,8B4U,674.0,16.0,4CG1,26.21,0.553,False,True,True,-1.1607,False,,146,279,247
MGYP002561869048,8B4U,710.0,17.8,4EB0,25.95,0.523,False,True,True,-1.1653,False,,264,416,384
MGYP003289224062,8B4U,829.0,24.1,8B4U,29.39,0.81,False,True,True,-1.1665,False,,248,359,331
MGYP003086570991,8B4U,670.0,14.7,8B4U,23.74,0.781,False,True,True,-1.1675,False,,146,252,220
MGYP002869063699,8B4U,892.0,23.1,8B4U,24.51,0.888,False,True,True,-1.1682,False,,114,228,200
MGYP002784414825,8B4U,665.0,16.1,4EB0,22.05,0.628,False,True,True,-1.1687,False,,499,615,584
MGYP001690557052,8B4U,834.0,19.6,8B4U,24.23,0.914,False,True,True,-1.1708,False,,128,246,214
MGYP001208633886,8B4U,707.0,16.9,8B4U,23.42,0.903,False,True,True,-1.1709,False,,121,244,217
MGYP000645608130,8B4U,665.0,17.9,4EB0,22.64,0.543,False,True,True,-1.1713,False,,143,277,228
MGYP001061010500,6EQE,842.0,21.8,4EB0,29.44,0.678,False,True,True,-1.1718,False,,203,283,253
MGYP002789254384,8B4U,677.0,17.9,8B4U,25.0,0.851,False,True,True,-1.1744,False,,299,406,374
MGYP000607397318,8B4U,406.0,11.4,4WFI,52.94,0.066,True,True,True,-1.1757,False,,123,341,306
MGYP003747372699,8B4U,684.0,16.6,8B4U,21.68,0.941,False,True,True,-1.1759,False,,275,427,396
MGYP002635756488,8B4U,698.0,16.6,6EQE,26.32,0.502,False,True,True,-1.1769,False,,310,417,385
MGYP001046031077,6EQE,814.0,22.9,6EQE,30.3,0.645,False,True,True,-1.1791,False,,131,218,187
MGYP001407049533,8B4U,433.0,10.8,4EB0,44.44,0.07,True,True,True,-1.1798,False,,101,217,125
MGYP001204227009,8B4U,414.0,11.4,4CG1,23.71,0.725,False,True,True,-1.1851,False,,103,263,232
MGYP000111690666,8B4U,684.0,17.1,8B4U,21.84,0.929,False,True,True,-1.1859,False,,544,660,628
MGYP001813696085,8B4U,690.0,17.8,8B4U,23.72,0.941,False,True,True,-1.1864,False,,245,359,327
MGYP000692804401,8B4U,664.0,16.8,4EB0,23.26,0.605,False,True,True,-1.1912,False,,114,194,162
MGYP003584524846,8B4U,692.0,16.7,4CG1,21.35,0.656,False,True,True,-1.1941,False,,337,444,412
MGYP001098579506,8B4U,755.0,17.0,4EB0,29.17,0.085,True,True,True,-1.1955,False,,112,239,210
MGYP001096257307,8B4U,765.0,17.4,8B4U,25.11,0.784,False,True,True,-1.1967,False,,130,254,226
MGYP001098388764,8B4U,861.0,19.0,8B4U,25.0,0.736,False,True,True,-1.197,False,,112,229,201
MGYP003335621546,8B4U,729.0,17.9,4EB0,21.99,0.508,False,True,True,-1.2036,False,,251,429,395
MGYP000925346437,8B4U,845.0,23.6,8B4U,30.23,0.714,False,True,True,-1.2067,False,,346,490,457
MGYP000543911494,8B4U,826.0,20.6,8B4U,27.78,0.643,False,True,True,-1.2068,False,,119,266,237
MGYP000306976053,8B4U,753.0,17.0,4WFI,37.5,0.124,True,True,True,-1.2085,False,,252,427,393
MGYP000598568647,8B4U,693.0,17.4,8B4U,21.8,0.929,False,True,True,-1.2141,False,,472,585,553
MGYP000373012558,8B4U,396.0,11.9,4CG1,41.38,0.103,True,True,True,-1.2156,False,,255,387,349
MGYP001239202113,8B4U,845.0,22.8,8B4U,25.18,0.911,False,True,True,-1.2167,False,,125,249,219
MGYP001374536442,8B4U,851.0,22.8,8B4U,25.93,0.862,False,True,True,-1.2237,False,,120,270,241
MGYP001393605602,8B4U,715.0,16.6,8B4U,18.91,0.859,False,True,True,-1.2294,False,,128,250,220
MGYP003342025838,4CG1,673.0,17.8,4CG1,30.53,0.626,False,True,True,-1.2295,False,,247,332,301
MGYP001258152632,8B4U,764.0,16.6,6EQE,23.37,0.649,False,True,True,-1.2325,False,,259,426,392
MGYP001146457336,8B4U,769.0,17.6,4EB0,22.89,0.678,False,True,True,-1.2336,False,,250,417,384
MGYP001307960724,8B4U,864.0,21.5,8B4U,29.3,0.77,False,True,True,-1.2373,False,,120,270,241
MGYP003981016819,8B4U,864.0,24.8,8B4U,30.43,0.822,False,True,True,-1.24,False,,104,220,191
MGYP003394925176,8B4U,693.0,15.8,4WFI,28.81,0.384,True,True,True,-1.2447,False,,137,243,211
MGYP001809814830,8B4U,684.0,17.3,4WFI,23.47,0.64,False,True,True,-1.245,False,,234,399,365
MGYP001118794210,8B4U,674.0,16.6,8B4U,20.64,0.959,False,True,True,-1.2477,False,,688,802,770
MGYP000416043734,8B4U,411.0,11.3,4WFI,23.75,0.55,False,True,True,-1.2504,False,,160,348,318
MGYP002625493015,8B4U,910.0,24.2,8B4U,27.63,0.81,False,True,True,-1.2504,False,,112,226,198
MGYP002518183768,8B4U,857.0,24.1,8B4U,26.8,0.9,False,True,True,-1.2506,False,,169,284,256
MGYP001320147357,8B4U,835.0,20.3,8B4U,26.65,0.907,False,True,True,-1.2514,False,,254,427,393
MGYP002502096064,8B4U,862.0,23.0,8B4U,25.56,0.952,False,True,True,-1.2515,False,,128,243,215
MGYP003529957136,8B4U,678.0,17.5,8B4U,27.92,0.55,False,True,True,-1.2521,False,,176,319,290
MGYP000067770880,8B4U,720.0,15.0,8B4U,20.65,0.888,False,True,True,-1.2542,False,,258,404,372
MGYP002868802101,8B4U,888.0,24.1,8B4U,27.46,0.888,False,True,True,-1.2545,False,,159,273,245
MGYP001408173673,8B4U,732.0,17.8,4CG1,22.67,0.504,False,True,True,-1.2584,False,,253,435,401
